id,data,marca,canal,tema,texto,sentimento_rotulo
1007,2026-01-11 07:00:00,ConcorrenteA,TikTok,app,"Amei a experiência com ConcorrenteA, atendimento rápido e super educado! (app, reembolso)",Positivo
1042,2026-01-11 12:00:00,MarcaX,Twitter/X,pagamento,"Prometeram cashback e não caiu. MarcaX enrolando. (pagamento, cupom)",Negativo
1022,2026-01-11 17:00:00,ConcorrenteB,Instagram,suporte,"Atendimento horrível da ConcorrenteB, fiquei horas esperando. (suporte, atraso)",Negativo
1037,2026-01-11 17:00:00,ConcorrenteA,Twitter/X,qualidade,"Onde encontro cupom da ConcorrenteA? (qualidade, cashback)",Neutro
1039,2026-01-11 19:00:00,MarcaX,Facebook,atendimento,"Alguém sabe se a MarcaX aceita PIX? (atendimento, cashback)",Neutro
1008,2026-01-12 01:00:00,ConcorrenteA,YouTube,entrega,"Suporte da ConcorrenteA resolveu meu problema em minutos. Top! (entrega, cupom)",Positivo
1031,2026-01-12 01:00:00,MarcaX,Twitter/X,qualidade,"Comprei e veio com defeito. MarcaX não quer reembolsar! (qualidade, atraso)",Negativo
1041,2026-01-12 09:00:00,MarcaX,Twitter/X,qualidade,"Vi uma propaganda da MarcaX hoje, parece interessante. (qualidade, reembolso)",Neutro
1021,2026-01-12 17:00:00,ConcorrenteA,Twitter/X,atendimento,"O app da ConcorrenteA trava toda hora, impossível usar. (atendimento, reembolso)",Negativo
1020,2026-01-13 07:00:00,ConcorrenteB,ReclameAqui,pagamento,"Preço alto e qualidade ruim. ConcorrenteB piorou muito. (pagamento, cashback)",Negativo
1033,2026-01-13 21:00:00,MarcaX,Facebook,promoção,"Atendimento horrível da MarcaX, fiquei horas esperando. (promoção, atraso)",Negativo
1045,2026-01-13 22:00:00,MarcaX,ReclameAqui,entrega,"Vi uma propaganda da MarcaX hoje, parece interessante. (entrega, frete)",Neutro
1009,2026-01-14 11:00:00,ConcorrenteA,Facebook,pagamento,"O app da ConcorrenteA ficou muito melhor depois da atualização. Parabéns! (pagamento, atraso)",Positivo
1012,2026-01-14 20:00:00,ConcorrenteA,Instagram,pagamento,"Suporte da ConcorrenteA resolveu meu problema em minutos. Top! (pagamento, PIX)",Positivo
1038,2026-01-15 01:00:00,MarcaX,YouTube,qualidade,"Estou comparando MarcaX com outras opções por causa do preço. (qualidade, atraso)",Neutro
1000,2026-01-15 03:00:00,MarcaX,Twitter/X,app,"Suporte da MarcaX resolveu meu problema em minutos. Top! (app, cashback)",Positivo
1044,2026-01-15 16:00:00,MarcaX,Twitter/X,promoção,"Preço alto e qualidade ruim. MarcaX piorou muito. (promoção, cashback)",Negativo
1043,2026-01-15 16:00:00,MarcaX,Twitter/X,entrega,"Que decepção com MarcaX: entrega atrasada e ninguém responde. (entrega, frete)",Negativo
1023,2026-01-15 17:00:00,ConcorrenteA,YouTube,promoção,"Preço alto e qualidade ruim. ConcorrenteA piorou muito. (promoção, atraso)",Negativo
1018,2026-01-16 00:00:00,ConcorrenteA,Facebook,promoção,"Preço alto e qualidade ruim. ConcorrenteA piorou muito. (promoção, cashback)",Negativo
1016,2026-01-16 02:00:00,MarcaX,Twitter/X,pagamento,"Amei a experiência com MarcaX, atendimento rápido e super educado! (pagamento, cupom)",Positivo
1005,2026-01-16 07:00:00,MarcaX,Instagram,suporte,"Promoção incrível da MarcaX, valeu demais o cupom! (suporte, PIX)",Positivo
